,base,snap,calc,SCF,ex_en,osc
261,/home/share/wesolowski/NR_CGE_HUJI,511,iso1,-985.13416785,2.830523,2.380996
262,/home/share/wesolowski/NR_CGE_HUJI,512,iso1,-985.11778047,3.012965,2.534821
263,/home/share/wesolowski/NR_CGE_HUJI,513,iso1,-985.11886627,2.968103,2.466529
264,/home/share/wesolowski/NR_CGE_HUJI,514,iso1,-985.12299491,2.995576,2.452294
265,/home/share/wesolowski/NR_CGE_HUJI,515,iso1,-985.12675645,3.027959,2.422014
266,/home/share/wesolowski/NR_CGE_HUJI,516,iso1,-985.11743527,3.003992,2.525924
267,/home/share/wesolowski/NR_CGE_HUJI,517,iso1,-985.14748261,3.22078,2.358998
268,/home/share/wesolowski/NR_CGE_HUJI,518,iso1,-985.12806533,3.174234,2.429738
269,/home/share/wesolowski/NR_CGE_HUJI,519,iso1,-985.12100482,3.119802,2.42623
270,/home/share/wesolowski/NR_CGE_HUJI,520,iso1,-985.11366202,2.821513,2.540102
271,/home/share/wesolowski/NR_CGE_HUJI,521,iso1,-985.12039527,3.110621,2.322933
272,/home/share/wesolowski/NR_CGE_HUJI,522,iso1,-985.1152735,3.211512,2.358365
273,/home/share/wesolowski/NR_CGE_HUJI,523,iso1,-985.13256367,2.897957,2.51259
274,/home/share/wesolowski/NR_CGE_HUJI,524,iso1,-985.11255196,2.884486,2.457254
275,/home/share/wesolowski/NR_CGE_HUJI,525,iso1,-985.10971843,2.781108,2.427909
276,/home/share/wesolowski/NR_CGE_HUJI,526,iso1,-985.12053225,3.262509,2.379348
277,/home/share/wesolowski/NR_CGE_HUJI,527,iso1,-985.11004,2.902384,2.203164
278,/home/share/wesolowski/NR_CGE_HUJI,528,iso1,-985.1288509,2.935728,2.466812
279,/home/share/wesolowski/NR_CGE_HUJI,529,iso1,-985.10977799,3.042157,2.292818
280,/home/share/wesolowski/NR_CGE_HUJI,530,iso1,-985.11344407,2.82188,2.478801
281,/home/share/wesolowski/NR_CGE_HUJI,531,iso1,-985.09927654,3.059274,2.405782
282,/home/share/wesolowski/NR_CGE_HUJI,532,iso1,-985.11615393,3.060741,2.47429
283,/home/share/wesolowski/NR_CGE_HUJI,533,iso1,-985.09663812,3.135254,2.302715
284,/home/share/wesolowski/NR_CGE_HUJI,534,iso1,-985.10473537,2.988834,2.333199
285,/home/share/wesolowski/NR_CGE_HUJI,535,iso1,-985.13770152,3.25261,2.339195
286,/home/share/wesolowski/NR_CGE_HUJI,536,iso1,-985.09480159,3.06238,2.436824
287,/home/share/wesolowski/NR_CGE_HUJI,537,iso1,-985.11753911,2.823154,2.491684
